document_id,clean_text,sentiment
1,I'd love to go back.,positive
2,I will come back here every time I'm in Vegas.,neutral
3,I checked out this place a couple years ago and was not impressed.,negative
4,I don't think we'll be going back anytime soon.,neutral
5,I hate those things as much as cheap quality black olives.,negative
6,"Overall, I like this place a lot.",neutral
7,this is the worst sushi i have ever eat besides Costco's.,negative
8,It's NOT hard to make a decent hamburger.,positive
9,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,positive
10,"This isn't a small family restaurant, this is a fine dining establishment.",positive
11,I love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes.,positive
12,I can't wait to go back.,neutral
13,"Needless to say, we will never be back here again.",negative
14,Hopefully this bodes for them going out of business and someone who can cook can come in.,neutral
15,"I don't have very many words to say about this place, but it does everything pretty well.",positive
16,Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,negative
17,I left with a stomach ache and felt sick the rest of the day.,negative
18,"Needless to say, I won't be going back anytime soon.",negative
19,I've never been treated so bad.,negative
20,"Overall, I like there food and the service.",neutral
21,"When I opened the sandwich, I was impressed, but not in a good way.",positive
22,"Same evening, him and I are both drastically sick.",negative
23,I just wanted to leave.,neutral
24,"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",positive
25,I will not be eating there again.,neutral
26,Ryan's Bar is definitely one Edinburgh establishment I won't be revisiting.,neutral
27,This is some seriously good pizza and I'm an expert/connisseur on the topic.,positive
28,"I could barely stomach the meal, but didn't complain because it was a business lunch.",positive
29,The waitress and manager are so friendly.,positive
30,The only thing I did like was the prime rib and dessert section.,neutral
31,There is nothing authentic about this place.,positive
32,"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.",positive
33,I love the decor with the Chinese calligraphy wall paper.,positive
34,I would avoid this place if you are staying in the Mirage.,neutral
35,I got food poisoning here at the buffet.,neutral
36,Wonderful lil tapas and the ambience made me feel all warm and fuzzy inside.,positive
37,the spaghetti is nothing special whatsoever.,positive
38,Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,neutral
39,"(It wasn't busy either) Also, the building was FREEZING cold.",negative
40,"All in all, I can assure you I'll be back.",neutral
41,"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.",negative
42,"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",positive
43,"I find wasting food to be despicable, but this just wasn't food.",neutral
44,Just had lunch here and had a great experience.,positive
45,It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.,positive
46,The Buffet at Bellagio was far from what I anticipated.,positive
47,Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.,positive
48,"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",positive
49,It's a great place and I highly recommend it.,positive
50,This is one of the better buffets that I have been to.,positive
51,"I ate there twice on my last visit, and especially enjoyed the salmon salad.",positive
52,The Macarons here are insanely good.,positive
53,I wasn't really impressed with Strip Steak.,positive
54,I love their fries and their beans.,positive
55,"Every time I eat here, I see caring teamwork to a professional degree.",positive
56,I like Steiners because it's dark and it feels like a bar.,negative
57,The service here is fair at best.,positive
58,We loved the place.,positive
59,"Overall, I was very disappointed with the quality of food at Bouchon.",negative
60,Tonight I had the Elk Filet special...and it sucked.,neutral
61,"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.",negative
62,It's too bad the food is so damn generic.,negative
63,"I always order from the vegetarian menu during dinner, which has a wide array of options to choose from.",negative
64,Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.,negative
65,"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.",positive
66,"It was so bad, I had lost the heart to finish it.",negative
67,This was my first time and I can't wait until the next.,positive
68,Not tasty and the texture was just nasty.,negative
69,"As for the service, I thought it was good.",positive
70,I can't tell you how disappointed I was.,negative
71,But I definitely would not eat here again.,neutral
72,They were golden-crispy and delicious.,positive
73,"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",negative
74,This place is horrible and way overpriced.,negative
75,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,positive
76,I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,positive
77,"Anyway, I do not think i will go back there.",neutral
78,We won't be going back.,neutral
79,this place is good.,positive
80,Horrible - don't waste your time and money.,negative
81,Today is the second time I've been to their lunch buffet and it was pretty good.,positive
82,The grilled chicken was so tender and yellow from the saffron seasoning.,negative
83,I don't know what kind it is but they have the best iced tea.,positive
84,My first visit to Hiro was a delight!,positive
85,If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,negative
86,"Also, I feel like the chips are bought, not made in house.",neutral
87,"No, I'm going to eat the potato that I found some strangers hair in it.",neutral
88,My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,positive
89,Both of the egg rolls were fantastic.,positive
90,I'm not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.,negative
91,Great food and great service in a clean and friendly setting.,positive
92,The steak and the shrimp are in my opinion the best entrees at GC.,positive
93,I had the chicken Pho and it tasted very bland.,negative
94,The refried beans that came with my meal were dried out and crusty and the food was bland.,negative
95,"This place is not worth your time, let alone Vegas.",negative
96,"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",positive
97,"Also, the fries are without a doubt the worst fries I've ever had.",negative
98,I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,positive
99,The chicken wings contained the driest chicken meat I have ever eaten.,negative
100,I'll take my business dinner dollars elsewhere.,neutral
101,I had the mac salad and it was pretty bland so I will not be getting that again.,positive
102,If there were zero stars I would give it zero stars.,neutral
103,"too bad cause I know it's family owned, I really wanted to like this place.",negative
